Star,Constellation,Mass,Radius
COROT-9,Serpens,0.991,0.936
HD 173416,Lyra,1.977,13.527
COROT-6,Ophiuchus,1.055,1.025
Kepler-8,Lyra,1.213,1.486
KIC 10905746,Draco,0.578,0.548
HD 175541,Serpens,1.654,3.85
Kepler-37,Lyra,0.803,0.77
HD 176051 B,Lyra,0.706,0.775
KIC 6185331,Lyra,1.027,1.273
HAT-P-37,Draco,0.929,0.877
COROT-16,Serpens,0.899,0.814
Kepler-26,Lyra,0.655,0.588
HD 175167,Pavo,1.102,1.254
KOI-135,Lyra,1.322,1.204
Kepler-30,Lyra,0.987,0.945
Kepler-9,Lyra,0.998,1.095
Kepler-4,Draco,1.223,1.487
Kepler-10,Draco,0.895,1.056
TrES-1,Lyra,0.875,0.822
HD 177830,Lyra,1.477,2.991
Kepler-25,Lyra,1.219,1.357
TrES-2,Draco,0.982,1
HD 178911 B,Lyra,1.07,1.139
HD 179070,Lyra,1.338,1.86
Kepler-20,Lyra,0.912,0.944
Kepler-14,Lyra,1.512,2.048
HD 179079,Aquila,1.087,1.482
Kepler-7,Lyra,1.347,1.843
HD 179949,Sagittarius,1.279,1.19
Kepler-16,Cygnus,0.892,0.648
Kepler-33,Cygnus,1.291,1.822
Kepler-22,Cygnus,0.968,0.979
HD 180902,Sagittarius,1.52,4.099
HD 181342,Sagittarius,1.84,4.597
Kepler-24,Lyra,1.032,1.067
Kepler-19,Lyra,0.936,0.854
HD 181720,Sagittarius,0.916,1.388
COROT-10,Aquila,0.891,0.792
WASP-48,Cygnus,1.089,1.088
HD 181433,Pavo,0.777,0.786
COROT-8,Aquila,0.879,0.773
COROT-2,Serpens,1.111,0.959
HD 183263,Aquila,1.172,1.201
Kepler-28,Cygnus,0.754,0.695
Kepler-42,Cygnus,0.129,0.165
Kepler-27,Cygnus,0.652,0.589
HAT-P-7,Cygnus,1.467,1.84
KOI-410,Cygnus,1.152,1.117
KOI-254,Cygnus,0.587,0.553
HD 231701,Sagitta,1.143,1.35
Kepler-31,Cygnus,1.211,1.217
Kepler-23,Cygnus,1.105,1.516
HD 185269,Cygnus,1.278,1.88
Kepler-35,Cygnus,1.697,0.998
Kepler-41,Cygnus,0.945,0.966
Kepler-12,Cygnus,1.166,1.483
16 Cygni B,Cygnus,1.269,0.981
WASP-67,Sagittarius,0.866,0.866
Kepler-15,Cygnus,1.018,0.992
Kepler-70,Cygnus,0.496,0.203
Kepler-34,Cygnus,2.069,1.103
HD 187123,Cygnus,1.056,1.165
Kepler-40,Cygnus,1.483,2.231
Kepler-6,Cygnus,1.209,1.391
Kepler-11,Cygnus,0.954,1.102
HD 187085,Sagittarius,1.217,1.435
HAT-P-11,Cygnus,0.807,0.754
Kepler-32,Cygnus,0.584,0.533
HD 188015,Vulpecula,1.089,1.101
Kepler-18,Cygnus,0.972,1.108
KOI-730,Cygnus,1.07,1.104
Kepler-29,Cygnus,1.001,0.955
Kepler-17,Cygnus,1.061,1.019
Xi Aquilae,Aquila,2.233,11.945
Kepler-5,Cygnus,1.374,1.793
Kepler-44,Cygnus,1.188,1.521
HD 189733,Vulpecula,0.8,0.753
Gliese 777,Cygnus,1.037,2.348
HD 189567,Pavo,1.039,1.082
HD 190647,Sagittarius,1.101,1.155
HD 190984,Pavo,0.911,1.527
HAT-P-34,Sagitta,1.392,1.535
Qatar-1,Draco,0.852,0.823
HD 192263,Aquila,0.814,0.748
Gliese 785,Capricornus,0.778,0.684
HD 192699,Aquila,1.68,4.255
TrES-5,Cygnus,0.893,0.866
HAT-P-23,Delphinus,1.131,1.199
HD 195019 A,Delphinus,1.056,1.377
WASP-2,Delphinus,0.844,0.834
HD 196050,Pavo,1.064,1.286
HD 197037,Cygnus,1.113,1.062
HD 196885 A,Delphinus,1.267,1.354
WASP-6,Aquarius,0.866,0.913
WASP-7,Microscopium,1.276,1.236
18 Delphini,Delphinus,2.265,8.52
WASP-11/HAT-P-10,Perseus,0.823,0.809
HD 200964,Equuleus,1.437,4.302
HIP 104780,Pegasus,0.863,0.932
WASP-46,Phoenix,0.956,0.917
HD 202206,Capricornus,1.129,1.019
WASP-10,Pegasus,0.712,0.783
HD 204313,Capricornus,1.045,1.053
HD 204941,Capricornus,0.736,0.722
Gliese 832,Grus,0.446,0.414
HD 205739,Piscis Austrinus,1.218,1.329
HAT-P-17,Cygnus,0.857,0.837
HD 206610,Aquarius,1.561,6.076
WASP-14,Boötes,1.319,1.297
HD 208487,Grus,1.325,1.147
WASP-59,Pegasus,0.888,0.902
HD 209458,Pegasus,1.006,1.125
V391 Pegasi,Pegasus,0.502,0.231
WASP-47,Aquarius,1.085,1.152
WASP-15,Hydra,1.181,1.477
HD 210277,Aquarius,1.09,1.096
Gliese 849,Aquarius,0.356,0.522
HD 210702,Pegasus,1.855,4.717
WASP-52,Grus,1.033,1.015
HD 212771,Aquarius,1.155,4.99
HD 212301,Octans,1.047,1.131
HD 213240,Grus,1.215,1.524
HD 215152,Aquarius,0.916,0.922
HD 215456,Grus,1.053,1.021
HD 215497,Tucana,0.865,0.85
HAT-P-8,Pegasus,1.278,1.576
Gliese 876,Aquarius,0.334,0.356
Tau1 Gruis,Grus,1.25,2.037
Rho Indi,Indus,1.074,1.101
HD 216770,Piscis Austrinus,0.912,1.038
51 Pegasi,Pegasus,1.111,1.169
Fomalhaut,Piscis Austrinus,1.92,1.842
HAT-P-1,Lacerta,1.124,1.154
HD 217107,Pisces,1.019,1.08
HD 217786,Pisces,1.023,1.267
HR 8799,Pegasus,1.472,1.339
HD 218566,Pisces,0.854,0.86
WASP-21,Pegasus,1.006,1.055
HD 240210,Cassiopeia,1.188,7.589
HD 240237,Cassiopeia,1.688,31.856
91 Aquarii,Aquarius,2.534,8.554
HD 219828,Pegasus,1.235,1.745
HD 220689,Aquarius,1.103,1.041
HD 220773,Pegasus,1.156,0.974
14 Andromedae,Andromeda,2.179,10.625
HD 221287,Tucana,1.249,1.339
WASP-4,Phoenix,0.949,0.91
WASP-28,Pisces,1.079,1.052
HAT-P-6,Andromeda,1.289,1.461
Gamma Cephei,Cepheus,1.387,6.196
HD 222582,Aquarius,0.987,1.145
WASP-29,Sculptor,0.824,0.846
WASP-5,Phoenix,1.024,1
WASP-8,Sculptor,0.819,0.799
HD 224693,Cetus,1.328,1.74
